Latitude (X),Longitude(Y),Depth
-74.5330200,39.4972300,0.0000000
-74.5330200,39.4972300,0.0000000
-74.5330400,39.4972400,0.0000000
-74.5330400,39.4972400,0.0000000
-74.5330600,39.4972500,0.0000000
-74.5330800,39.4972500,0.0000000
-74.5331000,39.4972500,0.0000000
-74.5331100,39.4972600,0.0000000
-74.5331300,39.4972600,0.0000000
-74.5331400,39.4972700,0.0000000
-74.5331600,39.4972700,0.0000000
-74.5331600,39.4972700,0.0000000
-74.5331800,39.4972700,0.0000000
-74.5331900,39.4972700,0.0000000
-74.5332200,39.4972700,0.0000000
-74.5332300,39.4972700,0.0000000
-74.5332400,39.4972600,0.0000000
-74.5332500,39.4972600,0.0000000
-74.5332500,39.4972500,0.0000000
-74.5332600,39.4972500,0.0000000
-74.5332600,39.4972500,0.0000000
-74.5332600,39.4972500,0.0000000
-74.5332700,39.4972400,0.0000000
-74.5332800,39.4972300,0.0000000
-74.5332900,39.4972200,0.0000000
-74.5332900,39.4972100,0.0000000
-74.5332900,39.4972100,0.0000000
